ISBN,서명_y,sep,대출건수_y
9780062266897,Learn to Read With Tug the Pup and Friends! Box Set (Levels Included: a - C #1),남성,16.0
9788972756194,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,여성,10.416666666666666
9788934908067,책 먹는 여우,여성,7.0
9788936434267,아몬드 (양장 특별 한정판),여성,7.583333333333334
9788936438036,일의 기쁨과 슬픔 :장류진 소설집 ,여성,4.0
9788954655972,여행의 이유 :김영하 산문 ,남성,7.9
9788993178692,"지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가 ",여성,6.75
9788935652792,마법의 설탕 두 조각,여성,8.0
9791196394509,죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이 ,여성,10.0
9788958620358,(대하역사만화) 박시백의 조선왕조실록,여성,9.0
9788933870792,(설민석의) 삼국지 :누구나 쉽게 시작하고 모두가 빠져드는 이야기 ,여성,3.5
9780062878922,My Weirdest School 12-Book Box Set: Books 1-12 (Paperback),여성,17.0
9788933870693,설민석의 조선왕조실록 :대한민국이 선택한 역사 이야기 ,여성,3.0
9788960243439,빈대 가족의 절약 1박 2일 - 대한민국 공식 짠돌이 빈대 가족에게 배우는 경제 지혜,여성,6.0
9791195522125,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다 ,여성,5.0
9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",여성,7.0
9788960244375,빈대 가족의 절약 그것이 알고 싶다,여성,5.666666666666666
9788960244511,빈대 가족의 복면 절약왕,여성,9.0
9788926382264,(신비아파트) 월화수목공포일,여성,4.916666666666666
9791196316808,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것 ,남성,6.0
9788925567921,(지랄발랄 하은맘의) 십팔년 책육아 ,여성,4.0
9788950984144,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,남성,2.3333333333333335
9788960243675,빈대 가족의 절약 무한도전 - 대한민국 공식 짠돌이 빈대 가족에게 배우는 경제 지혜,여성,8.0
9788965746829,천년의 질문 :조정래 장편소설 ,여성,8.0
9788970127248,"총, 균, 쇠:무기·병균·금속은 인류의 운명을 어떻게 바꿨는가",여성,6.833333333333334
9791162335123,추리 천재 엉덩이 탐정 6 - 수상한 탐정 사무소 사건,남성,5.0
9788971998557,역사의 역사 =History of writing history ,남성,7.0
9788932471631,이기적 유전자 :진화론의 새로운 패러다임 ,남성,7.0
9788996991342,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ,여성,4.25
9788926381267,(코믹 메이플스토리) 수학도둑 :지식·능력·경험을 융합하여 정리하는 No.1 수학학습만화,남성,5.333333333333334
9788965962823,"골든아워 :생과 사의 경계, 중증외상센터의 기록 ",여성,3.5
9788970572529,양파의 왕따 일기,여성,7.0
9788933870839,(설민석의) 삼국지 :누구나 쉽게 시작하고 모두가 빠져드는 이야기 ,여성,6.5
9788984373617,아가씨와 밤 :기욤 뮈소 장편소설 ,여성,7.5
9791162540640,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,여성,6.0
9791196067694,,,
9791130620459,철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구 ,여성,5.0
9791189001278,설민석의 세계사 대모험 2 - 히틀러의 두 얼굴,여성,6.0
9788984373853,작가들의 비밀스러운 삶 :기욤 뮈소 장편소설 ,남성,6.0
9791170180494,(퀴즈!) 과학상식 :공포 마술 ,남성,6.0
9788926389430,쿠키런 서바이벌 대작전,남성,3.0
9791161903538,연애의 행방 ,여성,6.0
9788960532410,토지 :박경리 대하소설,남성,6.0
9791188874262,,,
9788954645614,오직 두 사람 :김영하 소설 ,남성,5.0
9788937473135,82년생 김지영 :조남주 장편소설 ,여성,15.0
9791160560640,아침에는 죽음을 생각하는 것이 좋다 ,여성,6.0
9791162335741,내일은 실험왕 :본격 대결 과학실험 만화,남성,4.0
9791156390404,Who? 김연아 =Kim Yuna ,여성,9.0
9791188874293,(설민석의) 한국사 대모험,남성,9.0
9788937889714,(추리 천재) 엉덩이 탐정,남성,3.0
9791188248674,"(간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는) 90년생이 온다 ",여성,6.0
9788901219943,신경 끄기의 기술 :인생에서 가장 중요한것만 남기는 힘 ,여성,6.0
9788936456894,페인트 - 제12회 창비청소년문학상 수상작,여성,5.2
9788949160368,칠판 앞에 나가기 싫어!,여성,5.5
9791164131686,흔한남매,여성,4.0
9788926381229,(코믹) 메이플스토리 =오프라인 RPG.Maple story ,남성,4.5
9791188874217,(설민석의) 한국사 대모험,여성,2.0
9791125698593,마음의 소리,남성,5.0
9791162207031,놓지 마 과학!,여성,6.0
9788926384305,"(코믹 메이플스토리) 수학도둑 :창의사고력 강화, 수리논술력을 키워 주는 스토리텔링 수학의 선구자!",여성,8.0
9788994120997,지적 대화를 위한 넓고 얕은 지식,여성,5.0
9788984373068,브루클린의 소녀 :기욤 뮈소 장편소설 ,남성,9.0
9791164131914,(추리 천재) 엉덩이 탐정,여성,5.0
9788937853470,(추리 천재) 엉덩이 탐정,남성,4.0
9788926380963,쿠키런 어드벤처 :쿠키들의 신나는 세계여행,여성,7.0
9788950983079,(정재승의) 인간 탐구 보고서,여성,7.666666666666667
9788926384718,쿠키런 어드벤처 :쿠키들의 신나는 세계여행,여성,7.0
9788935212484,다산의 마지막 공부 :마음을 지켜낸다는 것 ,남성,4.0
9788937843150,LA에서 보물찾기,여성,6.5
9791133459056,도티&잠뜰 하우머치별에서 부자 되기,남성,4.5
9791164380879,,,
9788960243477,,,
9791133463664,,,
9791136216182,교통경찰의 밤 ,여성,2.0
9788911027408,무툴라는 못 말려! ,남성,5.0
9788949162027,꽝 없는 뽑기 기계 - 2020 비룡소 문학상 대상 수상작,여성,4.0
9788901068763,(국어 교과서도 탐내는) 맛있는 속담,남성,9.0
9791133450831,도티&잠뜰 코딩,여성,4.0
9788949110264,까마귀 소년,여성,4.5
9791189982140,"진이, 지니 :정유정 장편소설 ",여성,5.0
9791190382175,더 해빙 =부와 행운을 끌어당기는 힘 /The having ,여성,6.0
9788926384114,(쿠키런) 한자런 :달리는 쿠키들의 한자 대모험,남성,5.0
9788934967064,요리스타 청,여성,9.0
9788960869929,놓지 마 과학!,남성,4.5
9788958284055,눈물바다 ,남성,2.0
9788925566009,편지 ,여성,3.0
9788950982898,마법천자문 :손오공의 한자 대탐험,남성,5.0
9788965135586,유럽도시기행,남성,2.0
9791187119845,나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list ,여성,8.0
9788936477196,선량한 차별주의자 ,여성,4.0
9791190182522,,,
9788950971397,그리스 로마 신화,남성,4.0
9788934993315,또 잘못 뽑은 반장 ,여성,3.3333333333333335
9788971968710,마당을 나온 암탉 ,여성,2.0
9788936451158,마법사 똥맨 :송언 동화 ,여성,4.0
9788964960035,나는 나의 주인 ,남성,7.0
9791170182849,아이 러브 나의 꿈 블링블링 메이크업 반짝반짝 네일아트,여성,8.0
9791160560510,열두 발자국 ,여성,2.0
9788965676454,축구를 해요 ,남성,6.0
9788925565347,병구는 600살 - 어쩌다 보니 2학년 3반,남성,3.0
9788934933700,잘못 뽑은 반장 ,남성,5.0
9788983944245,,,
9788950981983,"2020 부의 지각변동 :미래가 보내온 7개의 시그널! 무너질 것인가, 기회를 만들 것인가 ",남성,7.0
9788937889424,유해 물질에서 살아남기,남성,3.0
9788960244580,빈대 가족의 어서 와! 절약은 처음이지?,여성,5.0
9788960244757,빈대 가족 과학 스쿨,남성,8.0
9788936442743,꼴뚜기 :진형민 동화집 ,여성,4.5
9788949161341,만복이네 떡집 ,남성,4.5
9791135442414,,,
9788950976118,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,남성,3.5
9791133475315,,,
9788950971410,,,
9788937444005,방랑자들 :올가 토카르추크 장편소설 ,남성,7.0
9788909078634,크록텔레 가족,남성,2.0
9788990611260,,,
9788965962830,"골든아워 :생과 사의 경계, 중증외상센터의 기록 ",남성,1.0
9788965746843,천년의 질문 :조정래 장편소설 ,남성,2.0
9788956058054,내가 확실히 아는 것들 ,여성,5.0
9788953313316,,,
9788928318049,걱정 세탁소 - 걱정을 세탁해 드립니다!,여성,5.0
9791188874385,"설민석의 한국사 대모험 11 - 고구려 편 : 부마 온달, 태학에 들어가다!",여성,2.0
9788936443054,푸른 사자 와니니 :이현 장편동화,여성,6.0
9788965963790,"룬샷 :전쟁, 질병, 불황의 위기를 승리로 이끄는 설계의 힘 ",여성,6.0
9781534402393,"Shark School Shark-Tacular Collection Books 1-8: Deep-Sea Disaster; Lights! Camera! Hammerhead!; Squid-Napped!; The Boy Who Cried Shark; A Fin-Tastic (Paperback, Boxed Set)",남성,4.0
9791134810849,,,
9788934993865,내 멋대로 나 뽑기,여성,6.0
9791190630672,,,
9788936447694,고양이 해결사 깜냥 1 - 아파트의 평화를 지켜라!,여성,3.5
9791130621968,,,
9788960243729,(빈대 가족의) 절약 삼시세끼 ,여성,5.5
9788949111674,줄무늬가 생겼어요,남성,3.5
9788965708322,직지 :김진명 장편소설 ,남성,3.0
9788926379769,(코믹 메이플스토리) 수학도둑 :지식·능력·경험을 융합하여 정리하는 No.1 수학학습만화,남성,7.5
9791164134847,흔한남매,남성,2.6666666666666665
9788971966686,,,
9788965676461,,,
9788949162058,소원 떡집,여성,4.0
9788925550091,"사서함 110호의 우편물 :네 사랑이 무사하기를, 내 사랑도 무사하니까 ",여성,3.0
9788996147442,까칠한 재석이가 사라졌다 ,여성,6.0
9788965746614,,,
9788934994947,내 멋대로 동생 뽑기,여성,4.0
9788950979317,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,여성,6.5
9788937849367,꼴찌라도 괜찮아! ,여성,4.666666666666667
9788911021406,훨훨 간다,남성,4.333333333333334
125669,David Walliams 소설 8종,남성,7.0
