level_0,index,서명,ISBN,대출건수
0,190,Learn to Read With Tug the Pup and Friends! Box Set (Levels Included: a - C #1),9780062266897,75
1,380,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,9788972756194,58
2,1014,책 먹는 여우,9788934908067,36
3,777,아몬드 (양장 특별 한정판),9788936434267,36
4,927,일의 기쁨과 슬픔 :장류진 소설집 ,9788936438036,34
5,854,여행의 이유 :김영하 산문 ,9788954655972,34
6,985,"지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가 ",9788993178692,30
7,512,마법의 설탕 두 조각,9788935652792,30
8,975,죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이 ,9791196394509,28
9,31,(대하역사만화) 박시백의 조선왕조실록,9788958620358,27
10,51,(설민석의) 삼국지 :누구나 쉽게 시작하고 모두가 빠져드는 이야기 ,9788933870792,26
11,196,My Weirdest School 12-Book Box Set: Books 1-12 (Paperback),9780062878922,26
12,688,설민석의 조선왕조실록 :대한민국이 선택한 역사 이야기 ,9788933870693,26
13,644,빈대 가족의 절약 1박 2일 - 대한민국 공식 짠돌이 빈대 가족에게 배우는 경제 지혜,9788960243439,25
14,830,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다 ,9791195522125,25
15,662,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",9788934972464,24
16,645,빈대 가족의 절약 그것이 알고 싶다,9788960244375,23
17,642,빈대 가족의 복면 절약왕,9788960244511,23
18,65,(신비아파트) 월화수목공포일,9788926382264,23
19,304,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것 ,9791196316808,23
22,92,(지랄발랄 하은맘의) 십팔년 책육아 ,9788925567921,22
20,182,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,9788950984144,22
21,647,빈대 가족의 절약 무한도전 - 대한민국 공식 짠돌이 빈대 가족에게 배우는 경제 지혜,9788960243675,22
23,1019,천년의 질문 :조정래 장편소설 ,9788965746829,21
24,1036,"총, 균, 쇠:무기·병균·금속은 인류의 운명을 어떻게 바꿨는가",9788970127248,21
25,1040,추리 천재 엉덩이 탐정 6 - 수상한 탐정 사무소 사건,9791162335123,20
26,856,역사의 역사 =History of writing history ,9788971998557,20
27,909,이기적 유전자 :진화론의 새로운 패러다임 ,9788932471631,20
28,581,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ,9788996991342,20
34,108,(코믹 메이플스토리) 수학도둑 :지식·능력·경험을 융합하여 정리하는 No.1 수학학습만화,9788926381267,19
31,294,"골든아워 :생과 사의 경계, 중증외상센터의 기록 ",9788965962823,19
29,813,양파의 왕따 일기,9788970572529,19
30,52,(설민석의) 삼국지 :누구나 쉽게 시작하고 모두가 빠져드는 이야기 ,9788933870839,19
32,768,아가씨와 밤 :기욤 뮈소 장편소설 ,9788984373617,19
36,796,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,9791162540640,19
33,137,12가지 인생의 법칙 :혼돈의 해독제 ,9791196067694,19
37,1024,철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구 ,9791130620459,19
39,687,설민석의 세계사 대모험 2 - 히틀러의 두 얼굴,9791189001278,19
35,939,작가들의 비밀스러운 삶 :기욤 뮈소 장편소설 ,9788984373853,19
38,123,(퀴즈!) 과학상식 :공포 마술 ,9791170180494,19
41,1078,쿠키런 서바이벌 대작전,9788926389430,18
40,857,연애의 행방 ,9791161903538,18
42,1109,토지 :박경리 대하소설,9788960532410,18
43,54,(설민석의) 한국사 대모험,9791188874262,18
46,868,오직 두 사람 :김영하 소설 ,9788954645614,18
45,152,82년생 김지영 :조남주 장편소설 ,9788937473135,18
44,798,아침에는 죽음을 생각하는 것이 좋다 ,9791160560640,18
47,417,내일은 실험왕 :본격 대결 과학실험 만화,9791162335741,18
48,225,Who? 김연아 =Kim Yuna ,9791156390404,17
49,55,(설민석의) 한국사 대모험,9791188874293,17
50,102,(추리 천재) 엉덩이 탐정,9788937889714,17
51,15,"(간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는) 90년생이 온다 ",9791188248674,17
52,739,신경 끄기의 기술 :인생에서 가장 중요한것만 남기는 힘 ,9788901219943,17
53,1123,페인트 - 제12회 창비청소년문학상 수상작,9788936456894,17
54,1051,칠판 앞에 나가기 싫어!,9788949160368,17
63,1186,흔한남매,9791164131686,16
55,117,(코믹) 메이플스토리 =오프라인 RPG.Maple story ,9788926381229,16
56,53,(설민석의) 한국사 대모험,9791188874217,16
57,523,마음의 소리,9791125698593,16
58,430,놓지 마 과학!,9791162207031,16
60,111,"(코믹 메이플스토리) 수학도둑 :창의사고력 강화, 수리논술력을 키워 주는 스토리텔링 수학의 선구자!",9788926384305,16
59,989,지적 대화를 위한 넓고 얕은 지식,9788994120997,16
62,631,브루클린의 소녀 :기욤 뮈소 장편소설 ,9788984373068,16
64,103,(추리 천재) 엉덩이 탐정,9791164131914,16
65,101,(추리 천재) 엉덩이 탐정,9788937853470,16
66,1087,쿠키런 어드벤처 :쿠키들의 신나는 세계여행,9788926380963,16
67,82,(정재승의) 인간 탐구 보고서,9788950983079,16
61,1091,쿠키런 어드벤처 :쿠키들의 신나는 세계여행,9788926384718,16
68,440,다산의 마지막 공부 :마음을 지켜낸다는 것 ,9788935212484,15
69,189,LA에서 보물찾기,9788937843150,15
70,473,도티&잠뜰 하우머치별에서 부자 되기,9791133459056,15
71,110,(코믹 메이플스토리) 수학도둑 :지식·능력·경험을 융합하여 정리하는 No.1 수학학습만화,9791164380879,15
72,649,빈대 가족의 짠돌이 100계명,9788960243477,15
73,468,도티&잠뜰 출동! SOS 구조대 : 자연재해의 재앙을 막아라!,9791133463664,15
74,311,교통경찰의 밤 ,9791136216182,15
81,567,무툴라는 못 말려! ,9788911027408,14
80,355,꽝 없는 뽑기 기계 - 2020 비룡소 문학상 대상 수상작,9788949162027,14
76,22,(국어 교과서도 탐내는) 맛있는 속담,9788901068763,14
77,470,도티&잠뜰 코딩,9791133450831,14
75,341,까마귀 소년,9788949110264,14
79,994,"진이, 지니 :정유정 장편소설 ",9791189982140,14
85,456,더 해빙 =부와 행운을 끌어당기는 힘 /The having ,9791190382175,14
78,120,(쿠키런) 한자런 :달리는 쿠키들의 한자 대모험,9788926384114,14
84,877,요리스타 청,9788934967064,14
82,428,놓지 마 과학!,9788960869929,14
86,434,눈물바다 ,9788958284055,14
87,1125,편지 ,9788925566009,14
83,519,마법천자문 :손오공의 한자 대탐험,9788950982898,14
92,897,유럽도시기행,9788965135586,13
88,363,나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list ,9791187119845,13
89,682,선량한 차별주의자 ,9788936477196,13
90,43,(백종원의) 도전 요리왕 :음식으로 맛보는 세계 역사 문화 체험,9791190182522,13
91,322,그리스 로마 신화,9788950971397,13
93,492,또 잘못 뽑은 반장 ,9788934993315,13
95,509,마당을 나온 암탉 ,9788971968710,13
96,510,마법사 똥맨 :송언 동화 ,9788936451158,13
97,364,나는 나의 주인 ,9788964960035,13
98,789,아이 러브 나의 꿈 블링블링 메이크업 반짝반짝 네일아트,9791170182849,13
94,860,열두 발자국 ,9791160560510,13
105,1042,축구를 해요 ,9788965676454,12
99,613,병구는 600살 - 어쩌다 보니 2학년 3반,9788925565347,12
104,947,잘못 뽑은 반장 ,9788934933700,12
100,1113,투발루에게 수영을 가르칠 걸 그랬어! ,9788983944245,12
101,142,"2020 부의 지각변동 :미래가 보내온 7개의 시그널! 무너질 것인가, 기회를 만들 것인가 ",9788950981983,12
102,901,유해 물질에서 살아남기,9788937889424,12
108,643,빈대 가족의 어서 와! 절약은 처음이지?,9788960244580,12
103,638,빈대 가족 과학 스쿨,9788960244757,12
109,353,꼴뚜기 :진형민 동화집 ,9788936442743,12
110,531,만복이네 떡집 ,9788949161341,12
111,448,"당신은 뇌를 고칠 수 있다 :매주 1시간 투자하여 최상의 기억력, 생산성, 수면을 얻는 법 ",9791135442414,12
107,177,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,9788950976118,12
106,462,도티&잠뜰 : 4차 산업혁명 - 미래를 지켜라!,9791133475315,12
116,323,그리스 로마 신화,9788950971410,11
124,603,방랑자들 :올가 토카르추크 장편소설 ,9788937444005,11
112,1103,크록텔레 가족,9788909078634,11
113,1116,틀려도 괜찮아,9788990611260,11
115,295,"골든아워 :생과 사의 경계, 중증외상센터의 기록 ",9788965962830,11
120,1021,천년의 질문 :조정래 장편소설 ,9788965746843,11
114,402,내가 확실히 아는 것들 ,9788956058054,11
118,1168,허풍이의 사서삼경 :신문수 선생님의 참 좋은 만화 ,9788953313316,11
121,267,걱정 세탁소 - 걱정을 세탁해 드립니다!,9788928318049,11
122,689,"설민석의 한국사 대모험 11 - 고구려 편 : 부마 온달, 태학에 들어가다!",9791188874385,11
123,1130,푸른 사자 와니니 :이현 장편동화,9788936443054,11
125,506,"룬샷 :전쟁, 질병, 불황의 위기를 승리로 이끄는 설계의 힘 ",9788965963790,11
117,209,"Shark School Shark-Tacular Collection Books 1-8: Deep-Sea Disaster; Lights! Camera! Hammerhead!; Squid-Napped!; The Boy Who Cried Shark; A Fin-Tastic (Paperback, Boxed Set)",9781534402393,11
134,803,안녕 자두야 심장이 벌렁벌렁 자두의 세계 여행 : 미국,9791134810849,11
119,393,내 멋대로 나 뽑기,9788934993865,11
135,760,"십 년 가게 1 - 시간의 마법, 이용하시겠습니까?",9791190630672,11
127,289,고양이 해결사 깜냥 1 - 아파트의 평화를 지켜라!,9788936447694,11
132,855,역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰 ,9791130621968,11
128,47,(빈대 가족의) 절약 삼시세끼 ,9788960243729,11
130,980,줄무늬가 생겼어요,9788949111674,11
131,993,직지 :김진명 장편소설 ,9788965708322,11
129,106,(코믹 메이플스토리) 수학도둑 :지식·능력·경험을 융합하여 정리하는 No.1 수학학습만화,9788926379769,11
133,1189,흔한남매,9791164134847,11
136,26,(까치와 소담이의) 수수께끼 놀이,9788971966686,11
137,954,재활용은 즐거워 Recycling Fun,9788965676461,11
138,706,소원 떡집,9788949162058,11
126,660,"사서함 110호의 우편물 :네 사랑이 무사하기를, 내 사랑도 무사하니까 ",9788925550091,11
145,346,까칠한 재석이가 사라졌다 ,9788996147442,10
146,1163,해리 :공지영 장편소설 ,9788965746614,10
154,394,내 멋대로 동생 뽑기,9788934994947,10
140,179,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,9788950979317,10
141,354,꼴찌라도 괜찮아! ,9788937849367,10
142,1185,훨훨 간다,9788911021406,10
144,172,David Walliams 소설 8종,125669,10
139,20,(교과서 속 옛 이야기로 보는) 속담이 백 개라도 꿰어야 국어왕 ,9788997174386,10
153,884,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,9791190090018,10
143,558,무례한 사람에게 웃으며 대처하는 법 :인생 자체는 긍정적으로 개소리에는 단호하게 ,9788957369364,10
147,555,못 참는 아이 욱하는 부모 :분노조절장애의 시대를 사는 대한민국 부모에게 주는 육아 멘토 오은영 박사의 감정 조절 육아법 ,9788997396658,10
150,74,(이상한 과자 가게) 전천당,9791164060931,10
151,986,지우개 따먹기 법칙 :유순희 장편동화 ,9788957982662,10
152,202,OX퀴즈 서바이벌100 신기한 과학이야기 2,9791196335311,10
148,254,가족의 가족을 뭐라고 부르지? :바르게 부르는 가족 호칭책 ,9788980712656,10
168,996,진짜 인싸 되는 법,9788928315987,10
155,486,드래곤빌리지 학습도감 10 : 귀신고래,9791186213278,10
149,83,(정재승의) 인간 탐구 보고서,9788950983086,10
157,397,내 입은 불량 입 ,9788955473094,10
164,944,잔혹한 어머니의 날 ,9791158791186,10
156,1115,트렌드 코리아 2020 :서울대 소비트렌드 분석센터의 2020 전망 ,9788959896127,10
158,44,(빈대 가족의) 아빠 어디 가? ,9788960243125,10
159,950,장군이네 떡집,9788949162041,10
160,239,Why? 응급처치 ,9788930202633,10
162,787,아씨방 일곱 동무,9788949100203,10
165,332,기억 :베르나르 베르베르 장편소설 ,9788932920337,10
163,181,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,9788950982188,10
161,450,대도시의 사랑법 :박상영 연작소설 ,9788936437978,10
172,279,고구마구마 ,9788956187372,10
167,753,신비아파트 월화수목공포일 1 - 고스트 캠핑,9788926347621,10
169,683,"선생님, 바보 의사 선생님",9788901055190,10
170,646,빈대 가족의 절약 대전,9788960243392,10
171,1067,코믹 메이플 스토리 오프라인 RPG 97,9788926381236,10
173,610,변화무쌍한 토네이도를 예측하라!,9788931933338,10
166,754,신비아파트 월화수목공포일 2 - 껌딱지 귀신,9788926365465,10
178,664,산왕 부루,9788901157368,9
181,116,(코믹) 메이플스토리 =오프라인 RPG.Maple story ,9788926380192,9
180,731,슬라임즈 1,9791188380459,9
179,867,오사카에서 보물찾기,9788937857942,9
174,60,(설민석의) 한국사 대모험,9791196232160,9
177,1110,토지 :박경리 대하소설,9788960532427,9
175,1072,쿠키런 놀이왕 과학상식 :재미있게 배우는 놀이 과학 상식 25 ,9788926365236,9
195,648,빈대 가족의 절약 좀 아는 형님,9788960244764,9
183,6,(50대 사건으로 보는) 돈의 역사 =The history of money ,9791135422225,9
182,472,도티&잠뜰 하우머치별에서 부자 되기,9791133447299,9
187,411,내일은 발명왕 :본격 대결 과학발명 만화,9791164131662,9
176,284,고양이 ,9788986621730,9
190,1013,채식주의자:한강 연작소설,9788936433598,9
185,673,새롬이와 함께 일기 쓰기 ,9788985494076,9
194,432,놓지 마 과학! 7 - 정신이 모험에 정신 놓다,9791162205624,9
191,292,고층 건물에서 살아남기 =Survival in skyscraper,9791164134250,9
193,431,놓지 마 과학!,9791190182737,9
189,458,데미안 ,9788937460449,9
188,460,도서관에 간 사자,9788901060316,9
196,607,베트남 =당신의 베트남 여행을 100배 즐겁게! /Vietnam ,9788925561806,9
186,465,도티&잠뜰 마지막 던전 ,9791133462056,9
184,741,신과 함께 :신화편,9788959195008,9
192,938,자카르타에서 보물찾기,9791162336199,9
210,109,(코믹 메이플스토리) 수학도둑 :지식·능력·경험을 융합하여 정리하는 No.1 수학학습만화,9788926382288,9
218,373,나는 차라리 부동산과 연애한다 :10억 부자 언니의 싱글 맞춤형 부동산 재테크 ,9788950986094,9
203,576,미생 :아직 살아 있지 못한 자,9788960865594,9
198,544,메리,9791160943061,9
206,570,미등록자 ,9788934982968,9
204,621,봉제인형 살인사건 :다니엘 콜 장편소설 ,9788998274931,9
199,1095,쿠키런 척척 수학상식 3,9788926385395,9
202,788,아웃라이어 :성공의 기회를 발견한 사람들 ,9788934933151,9
201,263,거인 부벨라와 지렁이 친구,9788925559483,9
200,1164,해리 :공지영 장편소설 ,9788965746621,9
