ISBN,서명,남성,여성,sep
125669,David Walliams 소설 8종,7.0,0.0,남성
8809254941501,"365 하루에 하나씩 레고 아이디어 북 - 작품 만들기, 흥미진진 게임, 시간 제한 시합, 사진 동영상 찍기",3.0,1.0,남성
8809611350441,집중력 미로찾기 공룡,0.0,1.0,여성
9780000148421,노부영 세이펜 How Do You Feel?,1.0,0.0,남성
9780007122721,Hitler's Daughter (Paperback),1.0,0.0,남성
9780007215997,The Tiger Who Came to Tea (Paperback),1.0,0.0,남성
9780007262304,The Way Back Home (Package),0.0,2.0,여성
9780007420681,It Wasn't Me null,0.0,3.0,여성
9780007458547,Little wolf's book of badness ,0.0,1.0,여성
9780060261559,A Tree Is Nice (Hardcover),1.0,0.0,남성
9780060266684,In the night kitchen,1.0,0.0,남성
9780060279714,Word after word after word ,1.0,0.0,남성
9780060283742,(The) squeaky door ,0.0,1.0,여성
9780060293642,We all sing with the same voice,2.0,0.0,남성
9780060588298,Kitten's first full moon,2.0,0.0,남성
9780060743864,The Nutcracker (Hardcover),1.0,0.0,남성
9780060751791,More Perfect Than the Moon (Paperback),0.0,2.0,여성
9780060935467,To kill a mockingbird ,1.0,0.0,남성
9780061152597,Yes Day! ,0.0,1.0,여성
9780061236099,Fancy Nancy and the boy from Paris ,0.0,1.0,여성
9780061236112,Fancy Nancy Sees Stars (Paperback),0.0,1.0,여성
9780061703683,Fancy Nancy: The Dazzling Book Report (Paperback),0.0,1.0,여성
9780061703706,Fancy Nancy: Pajama Day (Paperback),0.0,1.0,여성
9780061703720,Fancy Nancy: The Show Must Go on (Paperback),0.0,1.0,여성
9780061715174,My garden ,1.0,0.0,남성
9780061787294,The Dream Stealer (Paperback),1.0,0.0,남성
9780061910241,Pete the cat :rocking in my school shoes ,0.0,1.0,여성
9780062001757,Fancy Nancy:splendid speller ,0.0,1.0,여성
9780062239518,A Pizza the Size of the Sun,1.0,0.0,남성
9780062266897,Learn to Read With Tug the Pup and Friends! Box Set (Levels Included: a - C #1),16.0,0.0,남성
9780062268129,(The) year of Billy Miller ,1.0,0.0,남성
9780062328205,How Deep Is the Ocean?,1.0,0.0,남성
9780062357984,Batman Classic: 5-Minute Batman Stories (Hardcover),1.0,0.0,남성
9780062368430,Waiting (2016 칼데콧 Honor 수상작),0.0,1.0,여성
9780062427304,"Harold and the Purple Crayon (Hardcover, Lap)",1.0,0.0,남성
9780062436184,Biscuit Loves the Park (Hardcover),1.0,0.0,남성
9780062472106,American Gods: The Tenth Anniversary Edition (Mass Market Paperback),3.0,0.0,남성
9780062484932,Invisible Emmie (Paperback),1.0,0.0,남성
9780062561107,Bad Dad (Hardcover),1.0,0.0,남성
9780062572912,Funny Kid for President (Hardcover),0.0,1.0,여성
9780062671271,The Rough Patch (Hardcover),0.0,1.0,여성
9780062849809,The Upstairs Room (Paperback),0.0,1.0,여성
9780062851062,Just Jaime (Paperback),1.0,0.0,남성
9780062866004,The Good Egg (Hardcover),2.0,0.0,남성
9780062878922,My Weirdest School 12-Book Box Set: Books 1-12 (Paperback),8.0,9.0,여성
9780064400060,(The)Long winter,0.0,1.0,여성
9780064407670,(A) box of unfortunate events :the trouble begins ,1.0,0.0,남성
9780064407687,(A) box of unfortunate events :the trouble begins ,0.0,2.0,여성
9780064408639,(The)austere academy,0.0,2.0,여성
9780064408653,(The)vile village,2.0,0.0,남성
9780064431125,"What do you say, dear?",1.0,0.0,남성
