Unnamed: 0,bookname,isbn13,tokenized,encoding
2,삼국지:탄탄정통만화,9788955708738,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,(대하역사만화) 박시백의 조선왕조실록,9788958620358,"['청소년', '성인', '두루', '볼', '수', '개정', '첫', '권', '조선', '개국', '변방', '세력가', '이성계', '중앙', '정계', '진출', '나라', '건국', '때', '과정', '전개']","[2, 25, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,고집쟁이 화가 아저씨 :미켈란젤로의 그림 이야기,9788965092759,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,정글만리 :조정래 장편소설,9788965744023,"['태백산맥', '한강', '의', '작가', '조정래', '장편소설', '한국', '자본주의', '조', '허수아비', '춤', '이후', '한국', '현재', '미래', '대한', '작가', '고민', '중국', '주변', '정세', '대한', '통찰', '정글만리', '신작', '소설', '탄생']","[41, 14, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,(Discovery education) 맛있는 과학 :최고의 어린이 과학 콘텐츠,9788934952558,"['어린이', '과학', '사고력', '기초과학', '원리', '소개', '과학', '시리즈', '제', '권', '힘', '이', '책', '우리', '접', '현상', '힘', '이', '작용', '소개', '그', '힘', '특징', '그', '힘', '이용', '수', '일', '어린이', '눈높이', '소개', '자기력', '마찰력', '관찰']","[22, 3, 27, 16, 3, 1, 46, 25, 42, 10, 9, 42, 16, 11, 47, 11, 2, 22, 16, 0, 0]"
7,토지 :박경리 원작 대하소설,9788957073636,"['두', '말', '필요', '박경리', '선생', '대하', '소설', '를', '어린이', '눈높이', '채', '상상력', '바탕', '우리', '민족', '삶', '원작', '처럼', '역시', '입담', '그', '생동', '그림', '통해', '우리', '민족', '길']","[48, 22, 9, 49, 11, 20, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,(趙廷來 大河小說) 太白山脈,9788973377947,"['후반', '초반', '서점가', '최대', '베스트셀러', '지금', '독자', '우리', '문학계', '최고', '스', '테디', '셀러', '중', '한편', '대중', '뿐', '평론가', '해방', '이후', '최고', '걸작', '중', '편', '이', '책', '꼽는데', '주저']","[9, 41, 17, 42, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,위기탈출,9788915073104,"['과학', '지식', '이용', '위기', '방법', '책', '새', '교과서', '초등', '및', '중등', '핵심', '주제', '만화']","[3, 18, 10, 50, 31, 28, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,Why? people 세종대왕 =Sejong the great,9788930232197,"['인물', '탐구', '학습만화', '시리즈', '역사', '현재', '속', '살', '사람', '롤', '모델', '파워', '피플', '일대기', '소개', '그', '앞서', '경험', '좌절', '극복', '실패', '성공', '삶', '의지', '지혜', '세종대왕', '편', '과학', '농업', '국방', '예술', '문화', '등', '모든', '분야', '업적', '성군', '존경', '세종', '삶', '속']","[23, 6, 1, 4, 12, 16, 11, 49, 17, 3, 34, 5, 49, 12, 0, 0, 0, 0, 0, 0, 0]"
11,Why? 왕비이야기,9788930232517,"['한국사', '시리즈', '두', '번', '왕비', '왕후', '고려', '천추', '태후', '남편', '왕', '세운', '경', '왕후', '역사', '왕비', '이야기', '틀', '설명', '대신', '흥미진진', '모험', '스토리', '틈']","[21, 1, 4, 8, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
